"nome","ementa"
"ADI 4601","AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO CONSTITUCIONAL E ADMINISTRATIVO. ARTIGO 1º DA LEI 4.586/1983. DIREITO PRÉ-CONSTITUCIONAL. IMPOSSIBILIDADE DE EXAME EM SEDE DE AÇÃO DIRETA DE INCONSTITUCIONALIDADE. ARTIGO 1º, PARTE FINAL, DA EMENDA CONSTITUCIONAL 22/2003 DO ESTADO DO MATO GROSSO. MANUTENÇÃO DO PAGAMENTO DE PENSÃO VITALÍCIA A EX-GOVERNADORES, EX-VICE-GOVERNADORES E SUBSTITUTOS CONSTITUCIONAIS QUE PERCEBIAM O BENEFÍCIO À ÉPOCA DE SUA EXTINÇÃO. IMPOSSIBILIDADE. VIOLAÇÃO DOS PRINCÍPIOS FEDERATIVO, REPUBLICANO, DA IMPESSOALIDADE E DA MORALIDADE ADMINISTRATIVA. DIREITO ADQUIRIDO A REGIME JURÍDICO. INEXISTÊNCIA. AÇÃO DIRETA DE INCONSTITUCIONALIDADE PARCIALMENTE CONHECIDA E, NESSA PARTE, JULGADO PROCEDENTE O PEDIDO. 1. O artigo 1º da Emenda Constitucional 22/2003 do Estado do Mato Grosso, ao prever que deve ser ""respeitado o disposto no art. 5º, XXXVI, da Constituição Federal"", permitiu a continuidade do pagamento de subsídio mensal e vitalício a ex-governadores, ex-vice-governadores e substitutos que percebiam o benefício à época de sua extinção. 2. O direito adquirido é inoponível à Constituição quando nela se encontra interditado, posto eclipsado em alegado regime jurídico imutável, mormente quando o regime jurídico que se pretende ver preservado não encontra guarida na Constituição Federal. 3. A manutenção do pagamento de prestação pecuniária mensal e vitalícia a ex-governadores extrapola o poder constituinte derivado, violando o princípio federativo, além de não se compatibilizar com os princípios da impessoalidade e da moralidade administrativa. 4. O princípio republicano apresenta conteúdo contrário à prática do patrimonialismo na relação entre os agentes do Estado e a coisa pública, o que se verifica no caso sub examine. 5. O princípio da igualdade veda a instituição de tratamento privilegiado sem motivo razoável, tal qual o estabelecido em proveito de quem não mais exerce função pública ou presta qualquer serviço à Administração Pública. Precedentes: ADI 4.552-MC, Rel. Min. Cármen Lúcia, Plenário, DJe de 9/6/2015; ADI 3853, Rel. Min. Cármen Lúcia, Plenário, DJe de 26/10/2007; e ADI 3.418, Rel. Min. Dias Toffoli, Plenário, julgamento em 20/09/2018. 6. O artigo 1º da Lei 4.586/1983 do Estado do Mato Grosso é direito pré-constitucional, insuscetível de figurar como objeto de ação direta de inconstitucionalidade. Precedentes: ADI 2, Rel. Min. Paulo Brossard, Plenário, DJ de 21/11/1997; ADI 74, Rel. Min. Celso de Mello, Plenário, DJ de 25/9/1992; e ADI 129, Rel. Min. Carlos Velloso, Plenário, DJ de 4/9/1992. 7. Ação direta parcialmente conhecida, para, nessa parte, julgar procedente o pedido, para dar interpretação conforme a Constituição Federal ao artigo 1º, parte final, da Emenda Constitucional 22/2003 do Estado do Mato Grosso e declarar que o trecho ""respeitado o disposto no art. 5º, XXXVI, da Constituição Federal"" não autoriza a continuidade do pagamento de pensão mensal e vitalícia aos ex-governadores, ex-vice-governadores e substitutos constitucionais."
"ADI 5432","Ação direta de inconstitucionalidade. Lei nº 16.751, de 9 de novembro de 2015, do Estado de Santa Catarina. Vedação de propaganda de medicamentos e similares nos meios de comunicação sonoros, audiovisuais e escritos do Estado. Propaganda comercial. Matéria de competência legislativa privativa da União. Violação dos arts. 22, inciso XXIX, e 220, § 4º, da Constituição Federal. Procedência da ação. 1. Atestado, nos autos, o caráter nacional da ABRATEL, a homogeneidade da sua composição e a pertinência temática entre seus objetivos institucionais e o objeto da presente ação direta, reconhece-se a legitimidade ativa da associação. A ADI nº 4.110 (Rel. Min. Ricardo Lewandowski, DJe de 15/8/11) e a ADI nº 3.876 (Rel. Min. Cezar Peluso, DJe de 5/2/09), em que se afirmou a ilegitimidade ativa da associação, foram julgadas antes de 2012, quando ocorreu alteração no estatuto da entidade. 2. A Lei nº 16.751/2015 do Estado de Santa Catarina, ao vedar a propaganda de medicamentos e similares nos meios de comunicação sonoros, audiovisuais e escritos daquele estado, usurpou a competência privativa da União para legislar sobre propaganda comercial (art. 22, inciso XXIX, da Constituição), especificamente em tema de medicamentos (art. 220, § 4º, da CF/88), além de ter contrariado o regramento federal sobre a matéria, que permite que medicamentos anódinos e de venda livre sejam anunciados nos órgãos de comunicação social, ""com a condição de conterem advertências quanto ao seu abuso, conforme indicado pela autoridade classificatória"" (Lei Federal nº 9.294/1996, art. 12). 3. Ação julgada procedente."
"ADI 4058","CONSTITUCIONAL E ADMINISTRATIVO. CONTRATOS DE CONCESSÃO DE SERVIÇOS PÚBLICOS. ART. 42 DA LEI 8.987/1995, COM REDAÇÃO DADA PELA LEI 11.445/2007. NORMA COM EFICÁCIA EXAURIDA. CONHECIMENTO PARCIAL. NOVA CONCESSÃO DE SERVIÇO PÚBLICO APÓS VENCIMENTO DO PRAZO DO CONTRATO. NECESSIDADE DE NOVA LICITAÇÃO. INTERPRETAÇÃO CONFORME À CONSTITUIÇÃO. 1. ADI não conhecida com relação aos §§ 3º, 4º, 5º e 6º do art. 42 da Lei 8.987/1995, pois decorrido o prazo máximo de validade em 31 de dezembro de 2010. Precedente: ADI 1.979, Rel. Min. MARCO AURÉLIO, DJ de 23/6/1999. 2. Interpretação conforme à Constituição conferida ao § 1º do art. 42 da Lei 8.987/1995, no sentido de ser imprescindível a realização de licitação prévia à nova delegação a terceiros. 3. Ação conhecida parcialmente e, nessa parte, julgada parcialmente procedente."
"ADI 5725","AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO CONSTITUCIONAL. LEI 18.909/2016 DO ESTADO DO PARANÁ. INSTITUIÇÃO DE OBRIGAÇÃO PARA AS EMPRESAS CONCESSIONÁRIAS DE SERVIÇOS DE TELECOMUNICAÇÕES DE MANTEREM ESCRITÓRIOS REGIONAIS E REPRESENTANTES LEGAIS PARA ATENDIMENTO PRESENCIAL DE CONSUMIDORES EM CIDADES COM POPULAÇÃO SUPERIOR A 100 (CEM) MIL HABITANTES, BEM COMO DE DIVULGAÇÃO DOS CORRESPONDENTES ENDEREÇOS FÍSICOS NO SÍTIO ELETRÔNICO DAS OPERADORAS, NO CONTRATO DE PRESTAÇÃO DE SERVIÇOS E NAS FATURAS ENVIADAS AOS USUÁRIOS. INCONSTITUCIONALIDADE FORMAL. COMPETÊNCIA PRIVATIVA DA UNIÃO PARA LEGISLAR SOBRE TELECOMUNICAÇÕES. (ARTIGO 22, IV, DA CONSTITUIÇÃO FEDERAL). AFASTAMENTO DA COMPETÊNCIA CONCORRENTE DO ESTADO-MEMBRO PARA LEGISLAR SOBRE CONSUMO (ARTIGO 24, V E VIII, DA CONSTITUIÇÃO FEDERAL). USUÁRIO DE SERVIÇOS PÚBLICOS CUJO REGIME GUARDA DISTINÇÃO COM A FIGURA DO CONSUMIDOR (ARTIGO 175, PARÁGRAFO ÚNICO, II, DA CONSTITUIÇÃO FEDERAL). AÇÃO DIRETA DE INCONSTITUCIONALIDADE CONHECIDA E JULGADO PROCEDENTE O PEDIDO. 1. Serviços públicos de telecomunicações (artigos 21, XI, e 22, IV) são regulados privativamente pela União, que ostenta competência legislativa e administrativa para a sua disciplina e prestação, à luz do sistema federativo instituído pela Constituição Federal. 2. A Lei 18.909/2016 do Estado do Paraná instituiu obrigação para as empresas concessionárias de serviços de telecomunicações de manterem escritórios regionais e representantes legais para atendimento presencial de consumidores em cidades com população superior a 100 (cem) mil habitantes, bem como de divulgação dos correspondentes endereços físicos no sítio eletrônico das operadoras, no contrato de prestação de serviços e nas faturas enviadas aos usuários. 3. A proteção do consumidor não legitima a eventual competência dos estados-membros para legislar sobre normas aplicáveis aos prestadores de serviços de telecomunicações, ainda que a pretexto de proteção consumerista ou da saúde dos usuários. Precedentes: ADI 5.253, Rel. Min. Dias Toffoli, Plenário, DJe de 01/08/2017; ADI 4.861, Rel. Min. Gilmar Mendes, Plenário, DJe de 01/08/2017; ADI 4.477, Rel. Min. Rosa Weber, Plenário, DJe de 31/05/2017; ADI 2.615, Rel. Min. Eros Grau, Rel. p/ acórdão Min. Gilmar Mendes, DJe de 18/05/2015; ADI 4.478, Rel. Min. Ayres Britto, Rel. p/ acórdão Min. Luiz Fux, DJe de 29.11.2011. 4. In casu, inexiste o suposto respaldo para o diploma impugnado na competência concorrente dos estados-membros para dispor sobre direito do consumidor (artigo 24, V e VIII, da Constituição Federal), cuja interpretação não pode conduzir à frustração da teleologia das normas que estabelecem as competências privativas da União. O consumidor e o usuário de serviços públicos ostentam regimes jurídicos diversos, pois o regime jurídico deste último, além de informado pela lógica da solidariedade social (artigo 3º, I, da Constituição Federal), encontra sede específica na cláusula ""direitos dos usuários"", prevista no artigo 175, parágrafo único, II, da Constituição Federal, enquanto o primeiro subsume-se à disciplina do Código de Defesa do Consumidor. 5. Ação direta conhecida e julgado procedente o pedido, para declarar a inconstitucionalidade da Lei 18.909/2016 do Estado do Paraná."
"ADI 4647","Ação direta de inconstitucionalidade. Resolução da Câmara dos Deputados. Ausência de impugnação especificada da integralidade da resolução. Ato que disciplina a distribuição de servidores por gabinete de liderança a cada nova eleição com base na representatividade do partido. Observância dos princípios da proporcionalidade, da representatividade partidária e, em última instância, da soberania popular. Conhecimento, em parte, da ADI, relativamente à qual a ação é julgada improcedente. 1. Ação direta de inconstitucionalidade que combate resolução da Câmara dos Deputados que altera a forma e o quantitativo de repartição de servidores por gabinete de liderança adotando como critério a representação decorrente do resultado final das eleições para a Câmara dos Deputados. 2. Preliminar de não impugnação especificada da integralidade da Resolução. Do exame da inicial não é possível extrair a fundamentação jurídica atinente a todos os artigos da resolução questionada, devendo a análise da demanda ficar restrita aos artigos impugnados na exordial. 3. Os critérios equitativos adotados na resolução decorrem do próprio regime democrático e da lógica da representatividade proporcional, sem descuidar da garantia do direito de existência das minorias. 4. ADI da qual se conhece em parte e, na parte de que se conhece, julgada improcedente."
"ADI 1606","Direito Constitucional. ADI. Constituição estadual. Norma impondo obrigações ao Legislativo e ao Judiciário. Violação ao princípio da separação dos poderes. Inconstitucionalidade. 1. O art. 120, § 7º, da Constituição do Estado de Santa Catarina viola o princípio da separação dos Poderes (art. 2° e 96 da Constituição Federal), ao determinar que as audiências públicas serão promovidas pelos Poderes Executivo e Judiciário, nas datas e nos municípios designados pela Assembleia Legislativa . Precedentes. 2. Medida cautelar confirmada. Ação direta de inconstitucionalidade julgada procedente."
"ADI 5158","DIREITO CONSTITUCIONAL E CONSUMIDOR. AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI 15.304/2014, DE PERNAMBUCO. IMPOSIÇÃO A MONTADORAS, CONCESSIONÁRIAS E IMPORTADORAS DE VEÍCULOS. FORNECIMENTO DE CARRO RESERVA EM REPAROS SUPERIORES A 15 DIAS, DURANTE GARANTIA CONTRATUAL. EXTRAPOLAÇÃO DE COMPETÊNCIA CONCORRENTE. INCONSTITUCIONALIDADE INTEGRAL DA LEI. 1. É inconstitucional, por extrapolação de competência concorrente para legislar sobre matérias de consumo, lei estadual que impõe às montadoras, concessionárias e importadoras de veículos a obrigação de fornecer veículo reserva a clientes cujo automóvel fique inabilitado por mais de 15 dias por falta de peças originais ou por impossibilidade de realização do serviço, durante o período de garantia contratual. 2. Da interpretação sistemática dos arts. 1º, IV, 5º, 24, V e VIII, 170, IV e 174, todos da Constituição Federal, extraem-se balizas impostas ao legislador estadual, quando da elaboração de normas consumeristas. São, assim, vedadas extrapolações de competência concorrente e violações aos princípios da isonomia, livre iniciativa e da livre concorrência, sobretudo no que concerne à criação de ônus estadual a fornecedores, como verificado no exemplo da Lei nº 15.304/2014 do Estado de Pernambuco. Precedentes: ADI 3.035, Rel. Min. Gilmar Mendes; ADI 3.645, Rel. Min. Ellen Gracie; ADI 2.656, Rel. Min. Maurício Corrêa. 3. Na hipótese, não se verifica a inconstitucionalidade formal de lei, por alegada violação ao art. 66, § 1º, da Constituição Federal, diante de irregular promulgação antecipada pelo Poder Legislativo, antes do término do prazo constitucional para sanção ou veto do Chefe do Executivo. Em casos específicos como o dos autos, tal irregularidade não enseja inconstitucionalidade formal da lei. 4. Ação direta de inconstitucionalidade cujo pedido se julga procedente, para declarar, por vício formal, a inconstitucionalidade da Lei nº 15.304, de 04.06.2014, do Estado de Pernambuco, em sua integralidade."
"ADI 3144","AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO TRIBUTÁRIO. CONTRIBUIÇÃO PARA O FINANCIAMENTO DA SEGURIDADE SOCIAL - COFINS. RECOLHIMENTO E CÁLCULO. ISONOMIA TRIBUTÁRIA. VEDAÇÃO AO CONFISCO TRIBUTÁRIO. ALÍQUOTAS DIFERENCIADAS. CONTRIBUIÇÃO SOCIAL. ATIVIDADE ECONÔMICA. PORTE DA EMPRESA. LUCRO PRESUMIDO. LUCRO REAL. LEI 10.833/2003. 1. A jurisprudência do STF é firme no sentido de que não se conhece de ADI em que a petição inicial seja insuficientemente fundamentada, por conta da ausência de particularização pontual da motivação a justificar a declaração da invalidade do diploma legislativo. Precedentes: ADI 1.811, de relatoria do Ministro Néri da silveira, Tribunal Pleno, DJ 25.02.2000; ADI-MC 1.222, de relatoria do Ministro Sydney Sanches, Tribunal Pleno, DJ 19.05.1995. 2. A caracterização do efeito confiscatório pressupõe a análise da situação jurídica do contribuinte em concreto. Logo, é juridicamente insustentável buscar guarida no art. 150, IV, da Constituição da República, ao fundamento de elevada carga tributária do país de maneira globalmente considerada e reflexos no comércio. 3. Não há violação ao princípio da isonomia tributária, pois a diferenciação entre contribuintes pauta-se em princípio geral da atividade econômica, nos termos do art. 170, IX, do Texto Constitucional. 4. As diferenças de tratamento tributário entre sociedades empresárias que recolhem Imposto de Renda sob os regimes de lucro real ou de lucro presumido, inclusive o direito ao creditamento, não representam ofensa à igualdade, pois a sujeição ao regime do lucro presumido é uma escolha realizada pelo contribuinte, sob as luzes de seu planejamento tributário. Precedente: RE 559.937, de relatoria da Ministra Ellen Gracie e com acórdão redigido pelo Ministro Dias Toffoli, Tribunal Pleno, DJe 17.10.2013. 5. É inviável ao Judiciário infirmar a relativa liberdade de conformação da ordem tributária pelo Poder Legislativo, quando não há parâmetro constitucional flagrantemente violado. Precedente: RE-RG 598.572, de minha relatoria, Tribunal Pleno, DJe 09.08.2016. 6. Ação Direta de Inconstitucionalidade parcialmente conhecida a que se nega procedência."
"ADI 3418","Ação direta de inconstitucionalidade. Artigo 45 do Ato das Disposições Constitucionais Transitórias da Constituição do Estado do Maranhão e Lei estadual nº 6.245/1994. ""Subsídio"" mensal e vitalício a ex-governador que tenha exercido o cargo em caráter permanente. Pensão ao cônjuge supérstite. Inconstitucionalidade. Jurisprudência do STF. Ação direta julgada procedente. 1. O Supremo Tribunal tem afirmado que a instituição de prestação pecuniária mensal e vitalícia a ex-governadores, comumente designada sob o nomen juris ""subsídio"", corresponde à concessão de benesse que não se compatibiliza com a Constituição Federal (notadamente com o princípio republicano e o princípio da igualdade, consectário daquele), por desvelar tratamento diferenciado e privilegiado sem fundamento jurídico razoável, com ônus aos cofres públicos, em favor de quem não exerce função pública ou presta qualquer serviço à administração, sendo também inconstitucionais prestações de mesma natureza concedidas aos cônjuges supérstites dos ex-mandatários. Precedentes: ADI nº 4.552-MC, Rel. Min. Cármen Lúcia, Tribunal Pleno, DJe de 9/6/15; ADI nº 3.853, Rel. Min. Cármen Lúcia, Tribunal Pleno, DJe de 26/10/07. 2. Ação julgada procedente para se declarar a inconstitucionalidade do art. 45 do Ato das Disposições Constitucionais Transitórias da Constituição do Estado do Maranhão e da Lei estadual nº 6.245/1994."
"ADI 4421","Ação direta de inconstitucionalidade. Lei nº 2.351, de 11 de maio de 2010, do Estado de Tocantins, que alterou e revogou dispositivos da Lei estadual nº 1.284, de 17 de dezembro de 2001 (Lei Orgânica do Tribunal de Contas do Estado do Tocantins). Norma declarada inconstitucional pela Suprema Corte nos autos da ADI nº 4.418. Perda superveniente do objeto. Prejudicialidade da ação. Ação direta extinta, nos termos do art. 485, VI, do CPC. 1. Julgada pela Suprema Corte, em distinta ação de controle abstrato, a inconstitucionalidade da lei objeto da ação direta, perde essa seu objeto. 2. Ação direta extinta, nos termos do art. 485, VI, do CPC."
"ADI 4332","LEI 1.788/2007 DO ESTADO DE RONDÔNIA. ART. 1º. REDUÇÃO DO VALOR PREVISTO NO ART. 87 DO ADCT PARA O PAGAMENTO DOS DÉBITOS DA FAZENDA PÚBLICA POR MEIO DE REQUISIÇÃO DE PEQUENO VALOR. CONSTITUCIONALIDADE. EXERCÍCIO DO PODER DE CONFORMAÇÃO DO LEGISLADOR RECONHECIDO NO JULGAMENTO DA ADI 2.868/PI. 1. Alteração no parâmetro constitucional que não implique mudança substancial do conteúdo da norma não prejudica o julgamento da ação direta de inconstitucionalidade. 2. O artigo 87 do ADCT foi instituído como norma transitória pela Emenda Constitucional 37/2002, com o escopo de fixar teto provisório aos estados e municípios no que diz respeito ao pagamento de seus débitos por meio de requisição de pequeno valor. 3. No julgamento da ADI 2868/PI, esta Corte pacificou que tal dispositivo não delimita um piso, irredutível, para o pagamento dos débitos dos Estados e dos Municípios por meio de requisição de pequeno valor. Cabe a cada ente federado fixar o valor máximo para essa especial modalidade de pagamento dos débitos da Fazenda Pública em consonância com a sua capacidade financeira, como se infere do § 5º do artigo 100 da Constituição (redação anterior à EC 62/2009). 4. Inexistência de elementos concretos que demonstrem a discrepância entre o valor estipulado na lei questionada (dez salários-mínimos) e a capacidade financeira do Estado de Rondônia. 5. Ação direta de inconstitucionalidade conhecida e julgada improcedente."
"ADI 5004","CONSTITUCIONAL. ADI. CRIAÇÃO DE VANTAGEM FUNCIONAL PARA SERVIDORES DO PODER EXECUTIVO EM EXERCÍCIO JUNTO AO TRIBUNAL DE CONTAS ESTADUAL. INCONSTITUCIONALIDADE FORMAL. RESERVA DE INICIATIVA (ART. 61, §1 º, II, ""A"", CF). AÇÃO PROCEDENTE. 1. Ação direta processada sob o rito do art. 10 da Lei 9868/1999 que, dada a simplicidade da questão jurídica em causa, comporta o julgamento imediato do mérito. Questão de ordem. 2. Viola a cláusula de reserva de iniciativa do chefe do Poder Executivo (art. 61, § 1º, II, ""a"", extensível aos Estados-Membros por força do art. 25 da CF) a concessão de gratificação a policiais militares integrantes de assessoria militar junto ao Tribunal de Contas estadual. O exercício funcional junto a outros órgãos ou Poderes não desnatura o vínculo entre esses servidores e seu cargo e órgão de origem. 3. Ação julgada procedente."
"ADI 1975","Processo legislativo. ADI. Medida Provisória nº 1.815/1999 e reedições. Regulamentação sobre promoções. Supressão do adicional por tempo de serviço. Constitucionalidade. 1. Revogação dos artigos 1º e 2º da MP nº 1.815/1999 pela MP nº 1.909-15/1999. Perda parcial do objeto da ação. 2. Artigo 3º da MP nº 1.815/1999, ainda em vigor, por meio da MP nº 2.225-45/2001. Supressão do adicional por tempo de serviço compatível com o art. 246 CF, uma vez que a matéria não foi objeto de emenda constitucional. 3. Ação conhecida em parte e nesta parte julgada improcedente."
"ADI 4243","Administrativo. ADI. Poder de auto-organização da Justiça Estadual. Improcedência do Pedido. 1. Lei Estadual paranaense que estabelece a criação de cargo de Corregedor Adjunto no Tribunal de Justiça. Alegação de violação ao art. 93, CF, por incompatibilidade da previsão com a Lei Orgânica da Magistratura Nacional. 2. Superveniência de normas que suprimiram o termo Adjunto. Alteração irrelevante, que não configura perda do objeto da ação. 3. A Lei Orgânica da Magistratura Nacional não veda a criação de um segundo cargo de Corregedor. Além disso, as funções estabelecidas pelo Regimento Interno do Tribunal de Justiça do Estado do Paraná não são puramente auxiliares. Questão que se insere na autonomia e no poder de auto-organização dos tribunais. 4. Ação direta julgada improcedente."
"ADI 5213","CONSTITUCIONAL. DIREITO DE GREVE DE SERVIDORES PÚBLICOS ESTADUAIS. REGULAMENTAÇÃO POR LEI ESTADUAL. INICIATIVA PARLAMENTAR. INCONSTITUCIONALIDADE FORMAL RECONHECIDA. 1. Esta Corte firmou entendimento segundo o qual a locução constitucional ""regime jurídico dos servidores públicos"" corresponde ao conjunto de normas que disciplinam os diversos aspectos das relações, estatutárias ou contratuais, mantidas pelo Estado com os seus agentes. Nessa matéria, o processo de formação das leis está sujeito, quanto à sua válida instauração, por efeito de expressa reserva constitucional, à exclusiva iniciativa do Chefe do Poder Executivo. (ADI 1197, Rel. Min. CELSO DE MELLO, Pleno, DJe de 31/5/2017) 2. A norma impugnada, ao disciplinar o exercício do direito de greve dos servidores públicos do Estado de Rondônia, apresenta peculiar disciplina normativa concernente à relação jurídica havida entre os servidores públicos estaduais e a Administração Pública. 3. Considerada a iniciativa parlamentar da norma impugnada, é de se reconhecer sua inconstitucionalidade formal (art. 61, §1º, II, c, CF). 4. Ação direta de inconstitucionalidade julgada procedente."
"ADI 5107","CONSTITUCIONAL. LEIS 10.052/2014 E 7.461/2001 DO ESTADO DE MATO GROSSO. ANALISTA ADMINISTRATIVO. EMISSÃO DE PARECERES JURÍDICOS. USURPAÇÃO DE ATRIBUIÇÃO PRIVATIVA DE PROCURADORES DO ESTADO. INDISSOCIABILIDADE DO EXERCÍCIO DE REPRESENTAÇÃO JUDICIAL E CONSULTORIA JURÍDICA. NÃO CONFIGURAÇÃO DA EXCEÇÃO PREVISTA NO ART. 69 DO ADCT. INCONSTITUCIONALIDADE. PREVISÃO DA ÁREA DE ATUAÇÃO JURÍDICA PARA ANALISTAS ADMINISTRATIVOS. CONSTITUCIONALIDADE, DESDE QUE NÃO USURPEM FUNÇÕES DE REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL E DE CONSULTORIA E ASSESSORAMENTO JURÍDICOS, CONSAGRADAS COM EXCLUSIVIDADE PARA PROCURADORES DO ESTADO (ART. 132 DA CF). 1. A separação das funções de representação judicial e consultoria jurídica em diferentes órgãos somente é permitida se já existente na data de promulgação da Constituição de 1988 (ADCT, art. 69). Ofende a prerrogativa dos Procuradores de Estado o posterior desmembramento dessas atividades (CF, art. 132). Precedente: ADI 1.679, Rel. Min. GILMAR MENDES, DJ de 21/11/2003. 2. É vedada a atribuição de atividades de representação judicial e de consultoria ou assessoramento jurídicos a analista administrativo da área jurídica. 3. Ação direta julgada parcialmente procedente."
"ADI 5018","Direito constitucional. Ação direta de inconstitucionalidade. Medidas Provisórias Nº 577/2012 e Nº 579/2012, convertidas nas Leis Nº 12.767/2012 e Nº 12.783/2013, respectivamente. Prestação do serviço público de energia elétrica. Juízo excepcionalíssimo dos requisitos. Violação ao art. 62, caput, da Constituição Federal não verificada. 1. As Medidas Provisórias nº 577/2012 e nº 579/2012, convertidas nas Leis nº 12.767/2012 e nº 12.783/2013, respectivamente, que reduzem o custo da energia elétrica para o consumidor brasileiro e viabilizam a adequada prestação do serviço público de energia elétrica em caso de extinção por falência ou caducidade da concessão ou permissão de serviço público de energia elétrica, não violam os pressupostos previstos no art. 62, caput, da Constituição Federal, visto que foram observados, pelo Chefe do Poder Executivo e pelo Congresso Nacional, os requisitos da urgência e relevância, como demonstrado nas exposições de motivos de ambas as medidas provisórias, e não há nenhum indício de excesso ou abuso por parte do Chefe do Executivo que enseje e justifique a censura judicial. 2. A conversão em lei de medida provisória impugnada, mesmo se introduzidas alterações substanciais, não necessariamente acarretará em perda de objeto da ação direta de inconstitucionalidade, cabendo a esta Corte prosseguir no julgamento da respectiva ação, quando forem questionados os pressupostos constitucionais – urgência e relevância – para a edição daquele ato normativo. Nesse sentido: AgR na ADI 5.599, Rel. Min. Edson Fachin, decisão monocrática proferida em 01.08.2017, DJe 03.08.2017. 3. A jurisprudência desta Corte é firme no sentido de que somente se admite o exame jurisdicional do mérito dos requisitos constitucionais de relevância e urgência na edição de medida provisória em casos excepcionalíssimos, em que a ausência desses pressupostos seja manifesta e evidente. Precedentes: RE 526.353, Rel. Min. Roberto Barroso; RE 700.160, Rel. Min. Rosa Weber; ADI 2.527, Rel. Min. Ellen Gracie. 4. Ação direta de inconstitucionalidade julgada improcedente."
"ADI 5535","AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO CONSTITUCIONAL. REGISTROS PÚBLICOS. ARTS. 22, XXV, E 236, § 3º, CF/88. COMPETÊNCIA LEGISLATIVA PRIVATIVA DA UNIÃO. LEI Nº 6.402/1996 DO ESTADO DA PARAÍBA. PERMISSÃO DE PARTICIPAÇÃO DE CANDIDATO QUE POSSUA APENAS O ENSINO MÉDIO COMPLETO EM CONCURSO DE PROVAS E TÍTULOS PARA SERVIÇOS NOTARIAIS E DE REGISTRO NOS MUNICÍPIOS COM POPULAÇÃO DE ATÉ TRINTA MIL HABITANTES. INCONSTITUCIONALIDADE FORMAL. PRECEDENTES. MODULAÇÃO DE EFEITOS. 1. É inconstitucional, por vício formal, em razão da violação à competência privativa da União para legislar sobre registros públicos (art. 22, XXV, e 236, §3º, CF/88), o art. 7º, § 1º, da Lei nº 6.402, de 23.12.1996, do Estado da Paraíba, que permite a participação de candidato que possua apenas o ensino médio completo em concursos de provas e títulos para serviços notariais e de registro em Municípios com população de até trinta mil habitantes. Precedentes: RE 336.739, Redator do acórdão o Min. Luiz Fux, DJe 15.10.2014; ADI 2.069-MC, Rel. Min. Gilmar Mendes, DJe 09.05.2003. 2. A lei em exame vigora por mais de 20 (vinte) anos, com presunção formal de constitucionalidade. Nesse contexto, a atribuição de efeitos retroativos à declaração de inconstitucionalidade eventualmente proclamada por esta Corte promoveria impacto indesejável nos concursos já realizados sob a égide do ato impugnado. Diante disso, e tendo em vista razões de segurança jurídica e de excepcional interesse social (art. 27, Lei nº 9.868/1999), convém modular a declaração de inconstitucionalidade, de modo a determinar que ela produza efeitos somente a partir da data da publicação da ata de julgamento. No mesmo sentido: ADI 3.580, Rel. Min. Gilmar Mendes, DJe 03.08.2015. 3. Ação julgada procedente, para declarar a inconstitucionalidade formal do art. 7º, § 1º, da Lei nº 6.402, de 23.12.1996, do Estado da Paraíba, com efeito ex nunc."
